北京,上海,飞机,KN5977,16:30,18:40
北京,太原,火车,G1653,10:10,12:55
北京,哈尔滨,火车,G1654,10:28,18:46
北京,沈阳,火车,G1655,09:05,14:09
北京,郑州,火车,G1656,11:28,17:27
北京,西安,火车,G1657,11:53,17:35
北京,海口,飞机,KN5977,08:15,11:55
北京,西宁,火车,T175,01:00,20:00
北京,乌鲁木齐,飞机,CA1253,09:00,13:05
北京,广州,飞机,KN5978,18:30,21:35
上海,北京,飞机,KN5979,08:50,11:00
上海,成都,飞机,KN5980,20:20,23:15
上海,广州,飞机,KN5981,17:05,19:40
上海,厦门,火车,G1663,13:28,21:47
太原,北京,火车,G1664,09:37,12:52
太原,上海,火车,G1665,12:26,21:17
太原,沈阳,火车,G1666,07:44,15:14
太原,郑州,火车,G1667,10:46,14:36
太原,武汉,火车,G1325,10:06,16:50
太原,西安,火车,G1668,17:56,21:40
哈尔滨,沈阳,火车,G1669,15:52,18:46
沈阳,北京,火车,G1670,13:07,17:52
沈阳,哈尔滨,火车,G1671,20:54,23:30
成都,北京,火车,G574,07:00,14:46
成都,长沙,汽车,湘A2258,08:00,20:00
成都,海口,飞机,KN5983,12:35,17:00
海口,北京,飞机,KN5984,15:15,19:05
广州,上海,飞机,KN5985,11:30,13:55
厦门,广州,火车,G1676,07:05,12:07
郑州,北京,火车,G3306,17:00,23:01
西安,太原,火车,KN7798,09:07,12:55
武汉,长沙,火车,T179,04:38,08:15
郑州,北京,火车,KN9956,17:00,23:01
长沙,成都,火车,T856,14:32,21:59
长沙,广州,火车,KN2983,09:30,12:01
长沙,武汉,火车,KN1103,11:02,12:27
郑州,长沙,汽车,豫A8754,09:00,19:43
